NAME,GP,MIN,PTS,REB,AST,STL,BLK,TO,Color
De'Aaron Fox PG,73,33.4,25,4.2,6.1,1.1,0.3,2.5,#5A2D81
Domantas Sabonis PF,79,34.6,19.1,12.3,7.3,0.8,0.5,2.9,#5A2D81
Kevin Huerter SG,75,29.4,15.2,3.3,2.9,1.1,0.3,1.3,#5A2D81
Harrison Barnes SF,82,32.5,15,4.5,1.6,0.7,0.1,1,#5A2D81
Malik Monk SG,77,22.3,13.5,2.6,3.9,0.6,0.3,1.9,#5A2D81
Keegan Murray SF,80,29.8,12.2,4.6,1.2,0.8,0.5,0.8,#5A2D81
Trey Lyles PF,74,16.9,7.6,4.1,0.9,0.4,0.4,0.9,#5A2D81
Terence Davis SG,64,13.1,6.7,2.2,1,0.7,0.2,0.8,#5A2D81
Davion Mitchell PG,80,18.1,5.6,1.3,2.3,0.6,0.2,0.8,#5A2D81
Chimezie Metu PF,66,10.4,4.9,3,0.6,0.3,0.3,0.5,#5A2D81
Kessler Edwards SF *,22,13.9,3.9,2.1,1,0.5,0.2,0.4,#5A2D81
Richaun Holmes F,42,8.3,3.1,1.9,0.2,0.1,0.3,0.3,#5A2D81
Neemias Queta C,5,5.8,2.4,2.2,0.2,0,0.4,0.2,#5A2D81
Alex Len C,26,6.2,1.7,2.3,0.5,0.2,0.4,0.6,#5A2D81
Keon Ellis G,16,4.4,1.5,0.5,0.4,0.3,0.1,0.1,#5A2D81
Matthew Dellavedova PG,32,6.7,1.5,0.4,1.3,0.2,0,0.3,#5A2D81
PJ Dozier G,16,4.9,1.4,0.9,0.6,0.4,0.1,0.3,#5A2D81
KZ Okpala SF,35,7.1,1.3,1,0.4,0.2,0.2,0.2,#5A2D81
Chima Moneke F,2,4,1,1,0.5,0,0,1,#5A2D81
Deonte Burton F,2,3,0,0,0,0,0,0,#5A2D81
